id,woj,public,size,nace,nace_division,vacancies
27814,14,1,Large,M,71,0
138453,14,1,Large,M,71,0
27815,14,1,Large,O,84,0
79705,14,1,Large,Q,86,0
27287,14,1,Large,O,84,5
189209,14,0,Large,J,62,5
81358,14,0,Large,F,43,0
137462,14,1,Large,P,85,0
78981,14,1,Large,P,85,0
23442,14,1,Large,Q,86,0
26846,14,1,Medium,R,93,2
204402,14,0,Small,L,68,0
97014,30,0,Medium,F,43,6
65609,14,0,Small,E,38,0
100670,30,0,Large,H,49,0
253661,24,0,Large,H,49,0
25745,14,0,Large,J,58,0
244918,14,0,Small,N,81,0
258934,14,0,Medium,S,95,0
29284,14,0,Large,I,56,0
203683,14,0,Large,G,46,0
26005,14,0,Large,G,47,2
139217,14,0,Large,K,66,0
195214,14,1,Medium,P,85,0
158813,14,0,Large,J,59,0
250371,14,0,Small,Q,87,0
112677,14,0,Large,Q,86,0
88504,24,0,Large,Q,86,0
23231,14,0,Large,C,32,11
27095,14,1,Large,O,84,0
193256,14,0,Small,J,62,0
218163,14,0,Small,J,59,0
196357,18,0,Large,C,20,0
57194,30,0,Medium,F,41,0
63194,14,0,Large,M,71,0
254158,14,0,Small,J,62,0
243285,14,1,Medium,O,84,0
244796,14,0,Small,M,71,0
41005,22,0,Large,K,65,0
252089,14,0,Small,J,59,0
56426,30,0,Large,C,16,0
